localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/css/components.min.css HTTP/1.1" 200 525917 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/bootstrap-hover-dropdown/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1539 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/images/logo.png HTTP/1.1" 200 2102 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9569 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/scripts/app.min.js HTTP/1.1" 200 16011 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/uniform/jquery.uniform.min.js HTTP/1.1" 200 8308 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/global/plugins/select2/js/select2.full.min.js HTTP/1.1" 200 71172 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/common/assets/pages/scripts/login.min.js HTTP/1.1" 200 694 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:42] "GET /gms-web/rcCaptcha.jpg HTTP/1.1" 200 1224 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 15:56:43] "GET /gms-web/favicon.ico HTTP/1.1" 404 39 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:08:55] "GET /gms-web/index/index HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:08:55] "GET /gms-web/login HTTP/1.1" 200 6380 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:08:55] "GET /gms-web/rcCaptcha.jpg HTTP/1.1" 200 1243 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:08:56] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
